Symbol,Strategy Name,Name of security,Status,Action,Quantity|Face Value,Price,Timing,Fill Price,Fill Price is Average,Time and Date(ET),Last Activity Date(ET),Reinvest Capital Gains,Order Number
NTRS,,NORTHERN TR CORP,Open,Sell,5 Shares,Stop market $111.07,GTC,-,No,3:46 PM 02/20/2025,3:46 PM 02/20/2025,,1002807828927
LABU,,DIREXION SHARES DAILY S&P BIOTECH BULL 3X SHS,Open,Sell,3 Shares,Stop market $88.56,GTC,-,No,2:27 PM 02/20/2025,2:27 PM 02/20/2025,,[phone]
TMUS,,T-MOBILE US INC,Open,Sell,5 Shares,Stop market $259.73,GTC,-,No,5:51 PM 02/19/2025,5:51 PM 02/19/2025,,1002799858062
OXY,,OCCIDENTAL PETE CORP,Open,Sell,15 Shares,Stop market $49.18,GTC,-,No,5:43 PM 02/19/2025,5:43 PM 02/19/2025,,1002799858043
FTNT,,FORTINET INC,Filled,Sell,10 Shares,Stop market $110.73,GTC,$110.73,No,12:11 PM 02/20/2025,2:24 PM 02/21/2025,,1002804862987
CHKP,,CHECK POINT SOFTWARE,Filled,Sell,4 Shares,Stop market $215.68,GTC,$215.49,No,11:11 AM 02/12/2025,1:41 PM 02/21/2025,,1002759273480
PBPB,,POTBELLY CORP,Filled,Sell,20 Shares,Stop market $12.18,GTC,$12.15,No,11:31 AM 02/18/2025,1:09 PM 02/21/2025,,1002786515926
FI,,FISERV INC,Filled,Sell,3 Shares,Stop market $232.12,GTC,$232.02,No,10:48 AM 02/21/2025,1:06 PM 02/21/2025,,1002811996994
SE,,SEA LTD A ADR,Filled,Sell,5 Shares,Stop market $130.40,GTC,$130.41,No,5:49 PM 02/19/2025,12:56 PM 02/21/2025,,1002799858058
TPR,,TAPESTRY INC,Filled,Sell,4 Shares,Stop market $85.38,GTC,$85.38,No,6:46 PM 02/18/2025,12:56 PM 02/21/2025,,1002790727950
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Sell,25 Shares,Stop market $85.89,GTC,$85.89,No,11:17 AM 02/20/2025,12:50 PM 02/21/2025,,1002804094582
ISRG,,INTUITIVE SURGICAL I,Filled,Sell,3 Shares,Stop market $596.37,GTC,$596.72,No,9:51 AM 02/21/2025,12:41 PM 02/21/2025,,1002810360338
UPRO,,PROSHARES ULTRAPRO S&P 500 ETF,Filled,Sell,20 Shares,Stop market $95.21,GTC,$95.185,No,11:27 AM 02/20/2025,12:37 PM 02/21/2025,,1002804094966
TOST,,TOAST INC A,Filled,Sell,10 Shares,Stop market $38.94,GTC,$38.91,No,3:51 PM 02/20/2025,9:41 AM 02/21/2025,,1002807829174
TOST,,TOAST INC A,Filled,Buy,10 Shares,Limit $40.16,Day,$40.16,No,3:50 PM 02/20/2025,3:50 PM 02/20/2025,,1002807829108
SOFI,,SOFI TECHNOLOGIES IN,Filled,Sell,15 Shares,Limit $15.51,Day,$15.51,No,3:45 PM 02/20/2025,3:45 PM 02/20/2025,,1002807828860
NTRS,,NORTHERN TR CORP,Filled,Buy,5 Shares,Limit $113.91,Day,$113.91,No,3:44 PM 02/20/2025,3:44 PM 02/20/2025,,1002807828806
LABU,,DIREXION SHARES DAILY S&P BIOTECH BULL 3X SHS,Filled,Buy,3 Shares,Limit $94.05,Day,$94.05,No,2:26 PM 02/20/2025,2:26 PM 02/20/2025,,1002806339797
FTNT,,FORTINET INC,Filled,Buy,10 Shares,Limit $113.62,Day,$113.62,No,12:10 PM 02/20/2025,12:10 PM 02/20/2025,,1002804862938
EQH,,EQUITABLE HLDGS INC,Filled,Sell,10 Shares,Stop market $54.88,GTC,$54.81,No,5:46 PM 02/19/2025,10:01 AM 02/20/2025,,1002799858050
FTNT,,FORTINET INC,Filled,Sell,5 Shares,Stop market $111.78,GTC,$111.77,No,5:47 PM 02/19/2025,9:53 AM 02/20/2025,,1002799858054
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Sell,25 Shares,Stop market $88.48,GTC,$88.48,No,8:59 AM 02/20/2025,9:53 AM 02/20/2025,,1002799859771
DASH,,DOORDASH INC A,Filled,Sell,8 Shares,Stop market $204.77,GTC,$204.66,No,9:45 AM 02/19/2025,9:51 AM 02/20/2025,,1002792271384
SHOP,,SHOPIFY INC A,Filled,Sell,6 Shares,Stop market $123.78,GTC,$123.7001,No,2:33 PM 02/19/2025,9:45 AM 02/20/2025,,1002797265999
MDB,,MONGODB INC A,Filled,Sell,4 Shares,Stop market $287.36,GTC,$287.4075,Yes,9:48 AM 02/19/2025,9:33 AM 02/20/2025,,1002792271787
CRWD,,CROWDSTRIKE HLDGS IN A,Filled,Sell,2 Shares,Stop market $442.77,GTC,$441.06,No,6:39 PM 02/18/2025,9:30 AM 02/20/2025,,1002790727929
OXY,,OCCIDENTAL PETE CORP,Filled,Buy,15 Shares,Limit $51.10,Day,$51.10,No,3:41 PM 02/19/2025,3:41 PM 02/19/2025,,1002799056366
DXCM,,DEXCOM INC,Filled,Sell,10 Shares,Stop market $89.34,GTC,$89.34,No,11:59 AM 02/18/2025,3:01 PM 02/19/2025,,1002787213368
SHOP,,SHOPIFY INC A,Filled,Buy,3 Shares,Limit $127.76,Day,$127.76,No,2:32 PM 02/19/2025,2:33 PM 02/19/2025,,1002797265981
CYBR,,CYBERARK SOFTWARE LT,Filled,Sell,1 Shares,Stop market $402.92,GTC,$402.88,No,6:40 PM 02/18/2025,10:02 AM 02/19/2025,,1002790727935
ASAN,,ASANA INC A,Filled,Sell,15 Shares,Stop market $23.04,GTC,$23.00,No,9:36 AM 02/19/2025,9:38 AM 02/19/2025,,1002792270525
ODFL,,OLD DOMINION FREIGHT,Filled,Sell,3 Shares,Stop market $205.91,GTC,$205.81,No,1:51 PM 02/18/2025,9:35 AM 02/19/2025,,1002788601572
NFLX,,NETFLIX INC,Filled,Sell,4 Shares,"Stop market $1,024.98",GTC,"$1,024.88",No,8:38 AM 02/14/2025,3:30 PM 02/18/2025,,1002773467605
SOFI,,SOFI TECHNOLOGIES IN,Filled,Buy,15 Shares,Limit $16.80,Day,$16.80,No,3:27 PM 02/18/2025,3:27 PM 02/18/2025,,1002790039208
FI,,FISERV INC,Filled,Buy,3 Shares,Limit $235.24,Day,$235.24,No,11:35 AM 02/18/2025,11:35 AM 02/18/2025,,1002787212118
SN,,SHARKNINJA INC,Filled,Sell,4 Shares,Stop market $108.67,GTC,$108.61,No,10:39 AM 02/14/2025,11:23 AM 02/18/2025,,1002776383821
PBPB,,POTBELLY CORP,Filled,Buy,20 Shares,Limit $12.97,Day,$12.97,No,9:53 AM 02/18/2025,10:02 AM 02/18/2025,,1002784257193
CTAS,,CINTAS CORP,Filled,Sell,10 Shares,Stop market $204.82,GTC,$204.80,No,9:33 AM 02/14/2025,3:21 PM 02/14/2025,,1002774306790
EQH,,EQUITABLE HLDGS INC,Filled,Buy,10 Shares,Limit $55.30,Day,$55.30,No,11:33 AM 02/14/2025,2:49 PM 02/14/2025,,1002777567674
DXCM,,DEXCOM INC,Filled,Buy,10 Shares,Limit $89.33,Day,$89.33,No,1:35 PM 02/14/2025,1:35 PM 02/14/2025,,1002779523480
CASY,,CASEYS GEN STORES IN,Filled,Sell,2 Shares,Stop market $434.93,GTC,$433.80,No,3:48 PM 02/13/2025,1:04 PM 02/14/2025,,1002772666472
CASY,,CASEYS GEN STORES IN,Filled,Buy,2 Shares,Limit $440.82,Day,$440.82,No,3:34 PM 02/13/2025,3:47 PM 02/13/2025,,1002771655938
CYBR,,CYBERARK SOFTWARE LT,Filled,Buy,1 Shares,Limit $412.73,Day,$412.73,No,3:44 PM 02/13/2025,3:47 PM 02/13/2025,,1002772666322
SN,,SHARKNINJA INC,Filled,Buy,4 Shares,Limit $112.88,Day,$112.88,No,3:30 PM 02/13/2025,3:30 PM 02/13/2025,,1002771655829
DASH,,DOORDASH INC A,Filled,Buy,4 Shares,Limit $200.58,Day,$200.58,No,9:55 AM 02/13/2025,9:55 AM 02/13/2025,,1002765899055
ASAN,,ASANA INC A,Filled,Buy,15 Shares,Limit $22.57,Day,$22.57,No,3:30 PM 02/12/2025,3:31 PM 02/12/2025,,1002762907321
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Buy,50 Shares,Limit $85.34,Day,$85.34,No,3:25 PM 02/12/2025,3:29 PM 02/12/2025,,1002762907205
TPR,,TAPESTRY INC,Filled,Buy,4 Shares,Limit $85.37,Day,$85.37,No,2:54 PM 02/12/2025,2:59 PM 02/12/2025,,1002762906421
UPRO,,PROSHARES ULTRAPRO S&P 500 ETF,Filled,Sell,50 Shares,Limit $95.33,Day,$95.33,No,2:49 PM 02/12/2025,2:49 PM 02/12/2025,,1002762906337
UPRO,,PROSHARES ULTRAPRO S&P 500 ETF,Filled,Buy,50 Shares,Limit $95.20,Day,$95.20,No,2:48 PM 02/12/2025,2:48 PM 02/12/2025,,1002762906297
DASH,,DOORDASH INC A,Filled,Buy,4 Shares,Limit $198.57,Day,$198.57,No,11:18 AM 02/12/2025,11:25 AM 02/12/2025,,1002759273830
DASH,,DOORDASH INC A,Filled,Buy to cover,4 Shares,Limit $199.75,Day,$199.75,No,11:18 AM 02/12/2025,11:18 AM 02/12/2025,,1002759273812
DASH,,DOORDASH INC A,Filled,Sell short,4 Shares,Limit $198.69,Day,$200.22,No,11:17 AM 02/12/2025,11:17 AM 02/12/2025,,1002759273788
CALM,,CAL MAINE FOODS INC,Filled,Sell,8 Shares,Stop market $112.31,GTC,$112.28,No,10:15 AM 02/12/2025,11:04 AM 02/12/2025,,1002758382530
SCHW,,CHARLES SCHWAB CORP,Filled,Sell,10 Shares,Stop market $81.60,GTC,$81.60,No,3:48 PM 02/11/2025,10:31 AM 02/12/2025,,1002754699804
TEAM,,ATLASSIAN CORP A,Filled,Sell,3 Shares,Stop market $312.83,GTC,$312.18,No,2:06 PM 02/10/2025,9:30 AM 02/12/2025,,1002746098082
UPRO,,PROSHARES ULTRAPRO S&P 500 ETF,Filled,Sell,40 Shares,Stop market $92.91,GTC,$92.99,No,11:14 AM 02/07/2025,9:30 AM 02/12/2025,,1002733889878
SCHW,,CHARLES SCHWAB CORP,Filled,Buy,10 Shares,Limit $83.86,Day,$83.8346,No,3:47 PM 02/11/2025,3:47 PM 02/11/2025,,1002754699776
SHOP,,SHOPIFY INC A,Filled,Buy,3 Shares,Limit $125.43,Day,$125.43,No,3:37 PM 02/11/2025,3:37 PM 02/11/2025,,1002754699390
ASAN,,ASANA INC A,Filled,Sell,15 Shares,Stop market $22.20,GTC,$22.20,No,2:51 PM 02/10/2025,12:06 PM 02/11/2025,,1002746099735
CART,,MAPLEBEAR INC,Filled,Sell,15 Shares,Stop market $48.71,GTC,$48.72,No,2:10 PM 02/09/2025,11:41 AM 02/11/2025,,1002740198130
CALM,,CAL MAINE FOODS INC,Filled,Buy,8 Shares,Limit $112.30,Day,$112.30,No,11:19 AM 02/11/2025,11:19 AM 02/11/2025,,1002751249115
CHKP,,CHECK POINT SOFTWARE,Filled,Buy,4 Shares,Limit $215.67,Day,$215.67,No,11:06 AM 02/11/2025,11:08 AM 02/11/2025,,1002751248387
SFM,,SPROUTS FMRS MKT INC,Filled,Sell,3 Shares,Stop market $164.72,GTC,$164.37,No,9:53 AM 02/07/2025,9:46 AM 02/11/2025,,1002731847087
GTLB,,GITLAB INC A,Filled,Sell,15 Shares,Stop market $69.81,GTC,$69.8001,No,2:24 PM 02/10/2025,9:32 AM 02/11/2025,,1002746098714
DASH,,DOORDASH INC A,Filled,Sell,4 Shares,Stop market $190.48,GTC,$190.04,No,4:50 PM 02/05/2025,9:30 AM 02/11/2025,,1002721019312
ASAN,,ASANA INC A,Filled,Buy,15 Shares,Limit $23.36,Day,$23.36,No,2:50 PM 02/10/2025,2:51 PM 02/10/2025,,1002746099691
SE,,SEA LTD A ADR,Filled,Buy,5 Shares,Limit $125.78,Day,$125.78,No,2:08 PM 02/10/2025,2:15 PM 02/10/2025,,1002746098131
GTLB,,GITLAB INC A,Filled,Buy,15 Shares,Limit $71.82,Day,$71.82,No,2:09 PM 02/10/2025,2:11 PM 02/10/2025,,1002746098184
TEAM,,ATLASSIAN CORP A,Filled,Buy,3 Shares,Limit $324.40,Day,$324.40,No,2:04 PM 02/10/2025,2:05 PM 02/10/2025,,1002746098015
ONON,,ON HLDG AG A,Filled,Sell,15 Shares,Limit $57.10,Day,$57.10,No,2:31 PM 02/07/2025,2:34 PM 02/07/2025,,1002737708275
PAYX,,PAYCHEX INC,Filled,Sell,5 Shares,Limit $147.10,Day,$147.10,No,2:31 PM 02/07/2025,2:31 PM 02/07/2025,,1002737708300
TEAM,,ATLASSIAN CORP A,Filled,Sell,2 Shares,Stop market $313.26,GTC,$313.32,No,7:58 PM 02/06/2025,2:28 PM 02/07/2025,,1002729869538
FTNT,,FORTINET INC,Filled,Buy,5 Shares,Limit $108.07,Day,$108.07,No,1:24 PM 02/07/2025,2:18 PM 02/07/2025,,1002736760354
CAVA,,CAVA GROUP INC,Filled,Sell,2 Shares,Stop market $139.23,GTC,$139.21,No,7:53 PM 02/06/2025,2:04 PM 02/07/2025,,1002729869507
CART,,MAPLEBEAR INC,Filled,Buy,15 Shares,Limit $49.53,Day,$49.53,No,1:21 PM 02/07/2025,1:56 PM 02/07/2025,,1002736760296
FNKO,,FUNKO INC A,Filled,Sell,40 Shares,Stop market $13.81,GTC,$13.81,No,9:48 AM 02/06/2025,1:35 PM 02/07/2025,,1002723112848
MDB,,MONGODB INC A,Filled,Buy,4 Shares,Limit $278.02,Day,$278.02,No,1:25 PM 02/07/2025,1:35 PM 02/07/2025,,1002736760415
PBPB,,POTBELLY CORP,Filled,Sell,100 Shares,Stop market $12.74,GTC,$12.71,No,10:02 AM 02/07/2025,10:57 AM 02/07/2025,,1002731847807
EAT,,BRINKER INTL INC,Filled,Sell,3 Shares,Stop market $176.98,GTC,$176.84,No,10:06 AM 02/04/2025,10:43 AM 02/07/2025,,1002707188406
LULU,,LULULEMON ATHLETICA,Filled,Sell,5 Shares,Stop market $407.64,GTC,$407.10,No,3:44 PM 02/06/2025,10:30 AM 02/07/2025,,1002728683783
GTLB,,GITLAB INC A,Filled,Sell,5 Shares,Stop market $70.97,GTC,$70.96,No,7:56 PM 02/06/2025,10:00 AM 02/07/2025,,1002729869521
PBPB,,POTBELLY CORP,Filled,Buy,100 Shares,Limit $12.95,Day,$12.95,No,9:57 AM 02/07/2025,10:00 AM 02/07/2025,,1002731847432
ADBE,,ADOBE INC,Filled,Sell,2 Shares,Limit $439.60,Day,$439.60,No,9:50 AM 02/07/2025,9:50 AM 02/07/2025,,1002731846891
CDW,,CDW CORP,Filled,Sell,10 Shares,Limit $198.76,Day,$198.76,No,3:42 PM 02/06/2025,3:42 PM 02/06/2025,,1002728683718
LULU,,LULULEMON ATHLETICA,Filled,Buy,5 Shares,Limit $412.58,Day,$412.58,No,3:40 PM 02/06/2025,3:41 PM 02/06/2025,,1002728683667
CDW,,CDW CORP,Filled,Buy,10 Shares,Limit $201.80,Day,$201.80,No,12:22 PM 02/06/2025,12:22 PM 02/06/2025,,1002726486928
ODFL,,OLD DOMINION FREIGHT,Filled,Buy,3 Shares,Limit $200.24,Day,$200.24,No,10:04 AM 02/06/2025,10:04 AM 02/06/2025,,1002723113878
FNKO,,FUNKO INC A,Filled,Buy,40 Shares,Limit $14.19,Day,$14.19,No,9:46 AM 02/06/2025,9:47 AM 02/06/2025,,1002723112694
CDW,,CDW CORP,Filled,Sell,5 Shares,Stop market $203.41,GTC,$203.385,No,4:48 PM 02/05/2025,9:34 AM 02/06/2025,,[phone]
TMUS,,T-MOBILE US INC,Filled,Buy,2 Shares,Limit $241.22,Day,$241.22,No,3:45 PM 02/05/2025,3:45 PM 02/05/2025,,1002721018466
ISRG,,INTUITIVE SURGICAL I,Filled,Buy,3 Shares,Limit $591.13,Day,$591.13,No,2:52 PM 02/05/2025,2:53 PM 02/05/2025,,[phone]
TMUS,,T-MOBILE US INC,Filled,Buy,3 Shares,Limit $240.61,Day,$240.61,No,12:20 PM 02/05/2025,12:20 PM 02/05/2025,,1002718488195
CDW,,CDW CORP,Filled,Buy,5 Shares,Limit $208.61,Day,$208.61,No,11:53 AM 02/05/2025,11:56 AM 02/05/2025,,1002717491342
PAYX,,PAYCHEX INC,Filled,Buy,5 Shares,Limit $149.60,Day,$149.60,No,3:48 PM 02/04/2025,3:48 PM 02/04/2025,,1002712650270
CAVA,,CAVA GROUP INC,Filled,Buy,2 Shares,Limit $142.45,Day,$142.45,No,2:43 PM 02/04/2025,2:47 PM 02/04/2025,,1002711574411
CTAS,,CINTAS CORP,Filled,Buy,10 Shares,Limit $201.66,Day,$201.66,No,2:39 PM 02/04/2025,2:39 PM 02/04/2025,,1002711574319
EAT,,BRINKER INTL INC,Filled,Buy,3 Shares,Limit $189.93,Day,$189.93,No,3:41 PM 02/03/2025,3:44 PM 02/03/2025,,1002704224364
CRWD,,CROWDSTRIKE HLDGS IN A,Filled,Buy,2 Shares,Limit $399.50,Day,$399.50,No,3:24 PM 02/03/2025,3:25 PM 02/03/2025,,1002703403840
UPRO,,PROSHARES ULTRAPRO S&P 500 ETF,Filled,Buy,40 Shares,Limit $93.68,Day,$93.68,No,2:53 PM 02/03/2025,2:54 PM 02/03/2025,,1002703402855
NFLX,,NETFLIX INC,Filled,Buy,2 Shares,Limit $977.39,Day,$977.39,No,11:08 AM 02/03/2025,12:34 PM 02/03/2025,,1002699987375
SOFI,,SOFI TECHNOLOGIES IN,Filled,Sell,10 Shares,Stop market $15.12,GTC,$15.01,No,10:03 AM 01/30/2025,10:41 AM 02/03/2025,,1002679722310
TEAM,,ATLASSIAN CORP A,Filled,Buy,2 Shares,Limit $313.25,Day,$313.25,No,10:36 AM 02/03/2025,10:37 AM 02/03/2025,,1002699149543
UPRO,,PROSHARES ULTRAPRO S&P 500 ETF,Filled,Sell,40 Shares,Stop market $89.37,GTC,$89.355,No,9:52 AM 02/03/2025,10:16 AM 02/03/2025,,1002698204185
TQQQ,,PROSHARES ULTRAPRO QQQ ETF,Filled,Sell,25 Shares,Stop market $77.90,GTC,$77.90,No,9:14 AM 02/03/2025,10:02 AM 02/03/2025,,1002696323539
FOUR,,SHIFT4 PMTS INC A,Filled,Sell,3 Shares,Stop market $117.21,GTC,$113.18,No,12:36 PM 01/31/2025,9:35 AM 02/03/2025,,1002691291326
RDDT,,REDDIT INC A,Filled,Sell,3 Shares,Stop market $195.59,GTC,$192.00,No,12:42 PM 01/31/2025,9:35 AM 02/03/2025,,1002691291453
GEV,,GE VERNOVA INC,Filled,Sell,1 Shares,Stop market $364.83,GTC,$351.20,No,11:20 AM 01/30/2025,9:31 AM 02/03/2025,,1002681480937
APP,,APPLOVIN CORP A,Filled,Sell,1 Shares,Stop market $363.91,GTC,$353.00,No,12:30 PM 01/31/2025,9:30 AM 02/03/2025,,1002691291140
ASAN,,ASANA INC A,Filled,Sell,10 Shares,Stop market $20.76,GTC,$20.25,No,9:52 AM 01/30/2025,9:30 AM 02/03/2025,,1002678723457
BILL,,BILL HOLDINGS INC,Filled,Sell,4 Shares,Stop market $95.40,GTC,$93.52,No,12:31 PM 01/31/2025,9:30 AM 02/03/2025,,1002691291176
BROS,,DUTCH BROS INC A,Filled,Sell,15 Shares,Stop market $61.58,GTC,$60.16,No,12:32 PM 01/31/2025,9:30 AM 02/03/2025,,1002691291209
CART,,MAPLEBEAR INC,Filled,Sell,15 Shares,Stop market $46.64,GTC,$46.27,No,12:33 PM 01/31/2025,9:30 AM 02/03/2025,,1002691291224
CRWD,,CROWDSTRIKE HLDGS IN A,Filled,Sell,1 Shares,Stop market $390.12,GTC,$385.15,No,12:34 PM 01/31/2025,9:30 AM 02/03/2025,,1002691291258
DOCU,,DOCUSIGN INC,Filled,Sell,7 Shares,Stop market $93.80,GTC,$93.13,No,3:19 PM 01/30/2025,9:30 AM 02/03/2025,,1002684719105
HOOD,,ROBINHOOD MKTS INC A,Filled,Sell,10 Shares,Stop market $50.77,GTC,$48.11,No,12:38 PM 01/31/2025,9:30 AM 02/03/2025,,1002691291377
IBIT,,ISHARES BITCOIN ETF,Filled,Sell,15 Shares,Stop market $56.05,GTC,$53.92,No,6:58 PM 01/27/2025,9:30 AM 02/03/2025,,1002660762689
NVDA,,NVIDIA CORP,Filled,Sell,3 Shares,Stop market $116.15,GTC,$114.00,No,5:36 PM 01/28/2025,9:30 AM 02/03/2025,,1002669028957
PCAR,,PACCAR INC,Filled,Sell,15 Shares,Stop market $109.65,GTC,$109.04,No,12:07 PM 01/29/2025,9:30 AM 02/03/2025,,1002673562191
RBRK,,RUBRIK INC A,Filled,Sell,4 Shares,Stop market $70.61,GTC,$69.10,No,11:51 AM 01/29/2025,9:30 AM 02/03/2025,,1002672701607
VERX,,VERTEX INC A,Filled,Sell,3 Shares,Stop market $57.04,GTC,$55.87,No,2:41 PM 01/30/2025,9:30 AM 02/03/2025,,1002683579952
VIK,,VIKING HLDGS LTD,Filled,Sell,10 Shares,Stop market $49.39,GTC,$48.87,No,2:42 PM 01/30/2025,9:30 AM 02/03/2025,,1002683579964
BOOT,,BOOT BARN HLDGS INC,Filled,Sell,15 Shares,Stop market $161.49,Day,$161.08,No,2:32 PM 01/31/2025,2:46 PM 01/31/2025,,1002693153984
ONON,,ON HLDG AG A,Filled,Buy,15 Shares,Limit $61.29,Day,$61.29,No,12:40 PM 01/31/2025,1:24 PM 01/31/2025,,1002691291420
BOOT,,BOOT BARN HLDGS INC,Filled,Buy,15 Shares,Limit $167.89,Day,$167.89,No,1:13 PM 01/31/2025,1:14 PM 01/31/2025,,1002692248561
TTWO,,TAKE-TWO INTERACTIVE,Filled,Sell,4 Shares,Stop market $187.47,GTC,$187.41,No,2:40 PM 01/30/2025,11:52 AM 01/31/2025,,1002683579937
ANGO,,ANGIODYNAMICS INC,Filled,Sell,10 Shares,Stop market $12.25,GTC,$11.92,No,11:18 AM 01/30/2025,9:31 AM 01/31/2025,,1002681480830
DECK,,DECKERS OUTDOOR CORP,Filled,Sell,3 Shares,Stop market $208.45,GTC,$194.35,No,3:53 PM 01/29/2025,9:31 AM 01/31/2025,,1002676854256
ONON,,ON HLDG AG A,Filled,Sell,10 Shares,Stop market $60.05,GTC,$60.05,No,3:24 PM 01/29/2025,9:30 AM 01/31/2025,,1002676058990
ADBE,,ADOBE INC,Filled,Buy,2 Shares,Limit $448.09,Day,$448.09,No,3:27 PM 01/30/2025,3:27 PM 01/30/2025,,1002684719312
VERX,,VERTEX INC A,Filled,Sell,7 Shares,Stop market $57.41,GTC,$57.39,No,5:38 PM 01/28/2025,11:36 AM 01/30/2025,,1002669028959
GEV,,GE VERNOVA INC,Filled,Buy,1 Shares,Limit $375.84,Day,$375.84,No,10:18 AM 01/30/2025,10:19 AM 01/30/2025,,1002679723343
ANGO,,ANGIODYNAMICS INC,Filled,Buy,10 Shares,Limit $13.17,Day,$13.17,No,10:15 AM 01/30/2025,10:17 AM 01/30/2025,,1002679723137
SOFI,,SOFI TECHNOLOGIES IN,Filled,Buy,10 Shares,Limit $16.48,Day,$16.48,No,10:02 AM 01/30/2025,10:02 AM 01/30/2025,,1002679722206
ASAN,,ASANA INC A,Filled,Buy,10 Shares,Limit $22.40,Day,$22.40,No,9:50 AM 01/30/2025,9:51 AM 01/30/2025,,1002678723345
CART,,MAPLEBEAR INC,Filled,Sell,5 Shares,Limit $49.51,Day,$49.51,No,9:40 AM 01/30/2025,9:40 AM 01/30/2025,,1002678722467
